Wall time,Step,Value
1653498420.4367814,1638000,-8.096292495727539
1653498420.4836605,1638450,-7.765974998474121
1653498420.532077,1638900,-7.796621322631836
1653498420.669811,1640250,-6.9928812980651855
1653498420.7185388,1640700,-9.038247108459473
1653498420.81085,1641600,-8.183036804199219
1653498420.957992,1642950,-5.254410743713379
1653498421.0021613,1643400,-5.925821304321289
1653498421.0486073,1643850,-5.925821304321289
1653498421.0977821,1644300,-7.206259727478027
1653498421.1447067,1644750,-6.599599361419678
1653498421.18995,1645200,-6.871028423309326
1653498421.2825315,1646100,-5.590590000152588
1653498421.7650633,1650600,-7.160293102264404
1653498421.8256478,1651050,-6.731487274169922
1653498421.9241605,1651950,-6.663820743560791
1653498421.96998,1652400,-6.454977512359619
1653498422.018863,1652850,-5.48405647277832
1653498422.1205118,1653750,-5.644022464752197
1653498422.3574011,1656000,-8.577422142028809
1653498422.404061,1656450,-8.659724235534668
1653498422.508615,1657350,-10.671730041503906
1653498422.608199,1658250,-7.647844314575195
1653498422.6578891,1658700,-6.938551902770996
1653498422.794959,1660050,-5.216629981994629
1653498422.84347,1660500,-4.947199821472168
1653498422.9339683,1661400,-5.691974639892578
1653498422.980924,1661850,-6.14432954788208
1653498423.2175255,1664100,-7.102532863616943
1653498423.3070998,1665000,-9.65043830871582
1653498423.3530707,1665450,-8.95147705078125
1653498423.4096985,1665900,-7.162747859954834
1653498423.5036209,1666800,-7.635186195373535
1653498423.832348,1669950,-8.631612777709961
1653498423.9737113,1671300,-5.729088306427002
1653498424.020332,1671750,-6.68488883972168
1653498424.16376,1673100,-7.497782230377197
1653498424.3610358,1674900,-6.189100742340088
1653498424.4081562,1675350,-5.767401218414307
1653498424.451625,1675800,-7.138758182525635
1653498424.497783,1676250,-8.384739875793457
1653498424.5961564,1677150,-7.098749160766602
1653498424.6406708,1677600,-5.4107441902160645
1653498424.6896856,1678050,-4.947199821472168
1653498424.7417974,1678500,-4.947199821472168
1653498424.7910047,1678950,-5.212247371673584
1653498424.8369665,1679400,-7.119926929473877
1653498424.935898,1680300,-8.341721534729004
1653498425.0852106,1681650,-8.456304550170898
1653498425.1359017,1682100,-7.602021217346191
1653498425.184162,1682550,-5.828375339508057
1653498425.5196447,1685700,-6.489837646484375
1653498425.573071,1686150,-6.402257442474365
1653498425.7609918,1687950,-6.786417484283447
1653498425.8589923,1688850,-5.756242752075195
1653498425.9548035,1689750,-5.228731155395508
1653498425.9985075,1690200,-5.3535895347595215
1653498426.1407561,1691550,-9.4185791015625
1653498426.1848788,1692000,-9.704245567321777
1653498426.281221,1692900,-8.00284194946289
1653498426.331256,1693350,-5.993351459503174
1653498426.3858485,1693800,-6.352992057800293
1653498426.534275,1695150,-9.57250690460205
